Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan Location,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image,Bottles in cellar
Domaine Laroche,Vieilles Vignes Chablis Premier Cru 'Les Fourchaumes',2017,Chablis Premier Cru,France,Burgundy Chablis,4.2,2019-07-11 13:01,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/157372599,https://images.vivino.com/labels/q1ua9BI5RtiPdz_HofPsQA.jpg,1
Château Thivin,Côte de Brouilly Les Griottes de Brulhié,2017,Côte de Brouilly,France,Beaujolais Red,3.9,2019-07-11 13:01,"",Not given,Unknown,"","",Red Wine,"","Pasta, Veal, Pork, Poultry",https://www.vivino.com/wines/155016997,https://images.vivino.com/labels/mACe1jkjQ8K3wVcdHxZbRQ.jpg,1
Domaine de la Viguerie,Rivesaltes,1979,Rivesaltes,France,Languedoc-Roussillon Red,4.6,2019-07-11 07:07,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Veal",https://www.vivino.com/wines/158790659,https://images.vivino.com/labels/-Ga5pW1iS1OCvT8OvSSefA.jpg,3
Villa Wolf,Pinot Noir Rosé,2018,Pfalz,Germany,,4.1,2019-07-10 14:02,"",Not given,Unknown,"","",Rosé Wine,"","Veal, Pork, Game (deer, venison), Rich fish (salmon, tuna etc), Poultry",https://www.vivino.com/wines/156226672,https://images.vivino.com/labels/pgl0GLl9QqmbmL4bL7K62Q.jpg,2
Soalheiro,Primeiras Vinhas Alvarinho,2018,Monção e Melgaço,Portugal,Portuguese Vinho Verde White,4.2,2019-07-08 22:10,"",Not given,Unknown,"","",White Wine,"","Shellfish, Vegetarian, Appetizers and snacks",https://www.vivino.com/wines/159257650,https://images.vivino.com/labels/ERZw1qULQFKAzdPmf1fq7A.jpg,2
Weinert,Carrascal,2013,Mendoza,Argentina,Argentinian Bordeaux Blend,3.8,2019-07-03 20:08,"",4.0,Unknown,"Has aged quite well. Still deep purple, slightly transparent at the edges.

Slightly spicy nose with hints of pepper and jam. 

Smooth tannins and well balanced. Nice acidity.

Good QPR with around 150 NOK at VMP when I bought it a few years back.

85p","",Red Wine,"","Beef, Pasta, Lamb, Poultry",https://www.vivino.com/wines/2461990,"",1
Andre Clouet,The V6 Experience Brut Champagne Grand Cru 'Bouzy',N.V.,Champagne Grand Cru 'Bouzy',France,French Champagne,4.2,2019-06-29 16:04,"",Not given,Unknown,"","",Sparkling,"","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/156291467,https://images.vivino.com/labels/689eKF50R-W7Mgr82A4bBw.jpg,3
Luigi Righetti,Capitel de Roari Amarone della Valpolicella Classico,2014,Amarone della Valpolicella Classico,Italy,Italian Amarone,4.1,2019-06-28 18:06,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Blue cheese",https://www.vivino.com/wines/4184496,https://images.vivino.com/labels/BL2PqyacRNC8UrVDRWKayw.jpg,1
Andre Clouet,Un Jour de 1911 Brut Champagne Grand Cru 'Bouzy',1911,Champagne Grand Cru 'Bouzy',France,French Champagne,4.4,2019-06-24 21:09,"",Not given,Unknown,"","",Sparkling,"","Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/4708945,"",1
Dr. Bürklin-Wolf,Riesling Spätlese Wachenheimer Gerümpel,1978,Pfalz,Germany,German Riesling,4.5,2019-06-23 18:06,"",4.5,Unknown,"Bought on auction. Weak vintage, so expected it to be waay over the top.

Had an amazing time with this one. At first it gave honey and apricots on the nose. Wax and resin. Still lively on the palate. Acid and residual sugars elegantly integrated. Palate gives red fruit and ripe pineapple.

Gradually turns to a slighly spicy palate with floral notes. Oregano? Elderberries?

Good concentration, med- length. Was very pleasantly surprised!

90p","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/160925460,https://images.vivino.com/labels/CZzCWgrVTEW1CFDskxZKOQ.jpg,1
Jean François Ganevat,Le Sa Vient d'Où,,Vin de France,France,Jura White,4.4,2019-06-22 09:09,"",Not given,Unknown,"","",White Wine,"","Poultry, Mushrooms, Mild and soft cheese",https://www.vivino.com/wines/160569380,https://images.vivino.com/labels/I2Ks89-ATdCNLJEeqiVmgA.jpg,1
Marchesi Alfieri,La Tota Barbera d'Asti,2015,Barbera d'Asti,Italy,Italian Barbera,3.9,2019-06-15 20:08,"",Not given,Unknown,"","",Red Wine,"","Pasta, Veal, Pork, Game (deer, venison), Poultry",https://www.vivino.com/wines/35083407,https://images.vivino.com/labels/tNXJzcVzTgKL3eBxq5i84w.jpg,1
Château Musar,Rouge (Gaston Hochar),2011,Bekaa Valley,Lebanon,,4.1,2019-06-15 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry",https://www.vivino.com/wines/1247880,https://images.vivino.com/labels/Ow1Hy5noT6iT4cher0TLxQ.jpg,3
Planeta,Chardonnay Sicilia,2017,Menfi,Italy,Southern Italy White,4.2,2019-06-15 19:07,"",Not given,Unknown,"","",White Wine,"","Shellfish, Vegetarian, Appetizers and snacks",https://www.vivino.com/wines/150278356,https://images.vivino.com/labels/NskRO1X4SAmxRtHbEuaZeQ.jpg,1
Schloss Lieser,Piesporter Goldtropfchen Riesling Kabinett,2017,Piesport,Germany,German Riesling,3.9,2019-06-15 19:07,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/157312401,https://images.vivino.com/labels/shLyTHP8Tfq0pf1_RBgvug.jpg,2
Trimbach,Clos Sainte Hune Riesling Alsace,2013,Alsace,France,Alsace Riesling,4.6,2019-06-15 19:07,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",https://www.vivino.com/wines/8536662,https://images.vivino.com/labels/3GOwzp2fTIq2AJ_H6rEeYA.jpg,1
Comm. G.B. Burlotto,Barolo,2015,Barolo,Italy,Italian Barolo,4.2,2019-06-10 20:08,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/20189168,https://images.vivino.com/labels/JVwObJomTBiHoKCr7ykI5Q.jpg,2
Griesel & Compagnie,Chardonnay Brut Nature,2013,Hessische Bergstrasse,Germany,,4.0,2019-06-10 20:08,"",Not given,Unknown,"","",Sparkling,"","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/157975374,https://images.vivino.com/labels/OLV9G9b4Queia59giYpcpw.jpg,1
Bodega Garzón,Reserva Tannat,2016,Maldonado,Uruguay,Uruguay Tannat,4.0,2019-06-05 15:03,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison)",https://www.vivino.com/wines/104422323,https://images.vivino.com/labels/3oTXe8mZSH-f4fIN_sp6tQ.jpg,1
Domaine du Pelican,Trois Cepages Arbois,2015,Arbois,France,,3.9,2019-06-05 15:03,"",Not given,Unknown,"","",Red Wine,"","Veal, Pork, Game (deer, venison), Rich fish (salmon, tuna etc), Poultry",https://www.vivino.com/wines/28970606,https://images.vivino.com/labels/f7bSxJ5hTXmxbAmC6ZYljg.jpg,1
